system,energy_component,average_kcal_mol,std_dev_kcal_mol,std_err_mean_kcal_mol
MERS,VDWAALS,-41.9020,2.9303,0.2930
MERS,EEL,-3.8756,2.6022,0.2602
MERS,EGB,12.7932,2.7195,0.2720
MERS,ESURF,-4.4896,0.2262,0.0226
MERS,DELTA G gas,-45.7776,4.7397,0.4740
MERS,DELTA G solv,8.3035,2.5755,0.2576
MERS,DELTA TOTAL,-37.4740,2.7168,0.2717
SARS1,VDWAALS,-29.9291,4.0961,0.4096
SARS1,EEL,-3.6951,2.5058,0.2506
SARS1,EGB,11.2269,2.7770,0.2777
SARS1,ESURF,-2.9869,0.3331,0.0333
SARS1,DELTA G gas,-33.6243,5.3239,0.5324
SARS1,DELTA G solv,8.2399,2.5834,0.2583
SARS1,DELTA TOTAL,-25.3843,3.4703,0.3470
NL63,VDWAALS,-39.5065,3.9207,0.3921
NL63,EEL,-5.9614,3.3618,0.3362
NL63,EGB,14.1435,3.2135,0.3214
NL63,ESURF,-3.7999,0.2684,0.0268
NL63,DELTA G gas,-45.4678,5.3603,0.5360
NL63,DELTA G solv,10.3436,3.1129,0.3113
NL63,DELTA TOTAL,-35.1243,3.5001,0.3500
229E,VDWAALS,-26.7787,3.8880,0.3888
229E,EEL,-4.0442,4.7331,0.4733
229E,EGB,10.6667,4.8224,0.4822
229E,ESURF,-2.6792,0.3525,0.0353
229E,DELTA G gas,-30.8228,6.6306,0.6631
229E,DELTA G solv,7.9875,4.6991,0.4699
229E,DELTA TOTAL,-22.8354,3.2444,0.3244
HKU1,VDWAALS,-29.0129,4.0146,0.4015
HKU1,EEL,-1.0940,2.3521,0.2352
HKU1,EGB,7.8750,2.4097,0.2410
HKU1,ESURF,-2.8769,0.3395,0.0339
HKU1,DELTA G gas,-30.1069,4.6839,0.4684
HKU1,DELTA G solv,4.9982,2.3853,0.2385
HKU1,DELTA TOTAL,-25.1088,3.6023,0.3602
